,ID,Title,Year,Runtime,Genres,AvgRating,VoteCount,Directors,Producers,Writers,Actors
1150,tt0374639,Incident at Loch Ness,2004.0,94,"Adventure,Comedy,Fantasy",6.5,4314.0,Zak Penn,,,"Werner Herzog, Kitana Baker, Gabriel Beristain, Russell Williams II"
1151,tt0374900,Napoleon Dynamite,2004.0,96,Comedy,7.0,230512.0,Jared Hess,"Jeremy Coon, Sean Covel, Chris Wyatt",Jerusha Hess,"Jon Heder, Efren Ramirez, Jon Gries, Aaron Ruell"
1152,tt0375063,Sideways,2004.0,127,"Comedy,Drama,Romance",7.5,197677.0,Alexander Payne,Michael London,"Rex Pickett, Jim Taylor","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh"
1153,tt0375104,Bobby Jones: Stroke of Genius,2004.0,123,"Biography,Drama,Romance",6.6,4049.0,Rowdy Herrington,"John Shepherd, Tim Moore","Kim Dawson, Bill Pryor, Tony De Paul","Jim Caviezel, Claire Forlani, Jeremy Northam, Malcolm McDowell"
1154,tt0375173,Alfie,2004.0,103,"Comedy,Drama,Romance",6.2,54267.0,Charles Shyer,,"Bill Naughton, Elaine Pope","Jude Law, Sienna Miller, Susan Sarandon, Renée Taylor"
1155,tt0375210,White Noise,2005.0,101,"Drama,Horror,Mystery",5.5,50133.0,Geoffrey Sax,"Paul Brooks, Shawn Williamson",Niall Johnson,"Michael Keaton, Deborah Kara Unger, Ian McNeice, Chandra West"
1156,tt0375568,Astro Boy,2009.0,94,"Action,Adventure,Animation",6.2,38741.0,David Bowers,Maryann Garger,"Osamu Tezuka, Timothy Harris, Colin Brady","Freddie Highmore, Nicolas Cage, Kristen Bell, Charlize Theron"
1157,tt0375679,Crash,2004.0,112,"Crime,Drama,Thriller",7.7,444372.0,Paul Haggis,"Mark R. Harris, Cathy Schulman, Bob Yari",Bobby Moresco,"Don Cheadle, Sandra Bullock, Thandiwe Newton, Karina Arroyave"
1158,tt0375819,The Honeymooners,2003.0,90,Comedy,5.7,267.0,Karl Golden,"Martin Brinkler, Martina Niland",,"Jonathan Byrne, Alex Reid, Justine Mitchell, Conor Mullen"
1159,tt0375912,Layer Cake,2004.0,105,"Action,Crime,Drama",7.3,190007.0,Matthew Vaughn,"Adam Bohling, David Reid",J.J. Connolly,"Daniel Craig, Sienna Miller, Michael Gambon, Tom Hardy"
1160,tt0375920,The Libertine,2004.0,114,"Biography,Drama,History",6.2,37289.0,Laurence Dunmore,"Lianne Halfon, Russell Smith",Stephen Jeffreys,"Johnny Depp, Samantha Morton, John Malkovich, Paul Ritter"
1161,tt0376105,Racing Stripes,2005.0,102,"Adventure,Comedy,Drama",5.2,17875.0,Frederik Du Chau,"Andrew A. Kosove, Broderick Johnson","David Schmidt, Steven P. Wegner, Kirk DeMicco","Frankie Muniz, David Spade, Snoop Dogg, Bruce Greenwood"
1162,tt0376108,Rebound,2005.0,86,"Comedy,Family,Sport",5.1,13440.0,Steve Carr,,"Scott Moore, Bill Wolff, Ed Decter, John J. Strauss, Jon Lucas","Martin Lawrence, Megan Mullally, Breckin Meyer, Wendy Raquel Robinson"
1163,tt0376136,The Rum Diary,2011.0,119,"Comedy,Drama",6.1,107006.0,Bruce Robinson,"Robert Kravis, Christi Dembrowski, Tim Headington, Graham King",Hunter S. Thompson,"Johnny Depp, Giovanni Ribisi, Aaron Eckhart, Michael Rispoli"
1164,tt0376196,Slow Burn,2005.0,93,"Drama,Mystery,Thriller",5.7,4122.0,Wayne Beach,"Bonnie Timmermann, Stephen Chang, Sidney Kimmel, Fisher Stevens",Anthony Walton,"Ray Liotta, Jolene Blalock, LL Cool J, Mekhi Phifer"
1165,tt0376541,Closer,2004.0,104,"Drama,Romance",7.2,229792.0,Mike Nichols,"Cary Brokaw, John Calley",Patrick Marber,"Natalie Portman, Jude Law, Clive Owen, Julia Roberts"
1166,tt0376606,Frozen,2005.0,90,Thriller,5.7,614.0,Juliet McKoen,Mark Lavender,Jayne Steel,"Shirley Henderson, Roshan Seth, Ger Ryan, Richard Armitage"
1167,tt0376800,November,2003.0,104,"Adventure,Comedy,Drama",7.6,4475.0,Achero Mañas,José Antonio Félez,Federico Mañas,"Óscar Jaenada, Ingrid Rubio, Javier Ríos, Juan Díaz"
1168,tt0376968,The Return,2003.0,110,Drama,7.9,46649.0,Andrey Zvyagintsev,Dmitry Lesnevsky,"Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov","Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina"
1169,tt0376994,X-Men: The Last Stand,2006.0,104,"Action,Adventure,Sci-Fi",6.6,531100.0,Brett Ratner,"Ralph Winter, Avi Arad, Lauren Shuler Donner","Simon Kinberg, Zak Penn","Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen"
1170,tt0377032,Anonymous,2004.0,82,Drama,4.4,238.0,,,,"Todd Verow, Dustin Schell, Jason Bailey, Noah Powell"
1171,tt0377043,The Californians,2005.0,87,Drama,4.8,440.0,Jonathan Parker,"Billie, Scott M. Rosenfelt","Catherine DiNapoli, Henry James","Noah Wyle, Illeana Douglas, Kate Mara, Cloris Leachman"
1172,tt0377062,Flight of the Phoenix,2004.0,113,"Action,Adventure,Drama",6.1,55945.0,John Moore,"Alex Blum, William Aldrich","Lukas Heller, Scott Frank, Edward Burns","Dennis Quaid, Miranda Otto, Giovanni Ribisi, Tyrese Gibson"
1173,tt0377091,Mean Creek,2004.0,90,"Crime,Drama",7.2,32938.0,Jacob Estes,"Susan Johnson, Rick Rosenthal, Hagai Shaham",,"Rory Culkin, Ryan Kelley, Scott Mechlowicz, Trevor Morgan"
1174,tt0377092,Mean Girls,2004.0,97,Comedy,7.1,407095.0,Mark Waters,Lorne Michaels,Rosalind Wiseman,"Lindsay Lohan, Jonathan Bennett, Rachel McAdams, Tina Fey"
1175,tt0377107,Proof,2005.0,100,"Drama,Mystery",6.7,45753.0,John Madden,"Alison Owen, John Hart, Robert Kessel","David Auburn, Rebecca Miller","Gwyneth Paltrow, Anthony Hopkins, Hope Davis, Jake Gyllenhaal"
1176,tt0377109,The Ring Two,2005.0,110,"Horror,Mystery",5.4,99214.0,Hideo Nakata,"Walter F. Parkes, Laurie MacDonald","Ehren Kruger, Kôji Suzuki, Hiroshi Takahashi","Naomi Watts, David Dorfman, Sissy Spacek, Simon Baker"
1177,tt0377471,Be Cool,2005.0,118,"Comedy,Crime,Music",5.6,71296.0,F. Gary Gray,"Michael Shamberg, Danny DeVito, David Nicksay","Elmore Leonard, Peter Steinfeld","John Travolta, Uma Thurman, Dwayne Johnson, Vince Vaughn"
1178,tt0377752,Dear Frankie,2004.0,105,"Drama,Romance",7.7,22255.0,Shona Auerbach,Caroline Wood,Andrea Gibb,"Emily Mortimer, Jack McElhone, Gerard Butler, Mary Riggans"
